Race,Category,Name,Bib,Chip,Start Time,End Time,Lap,Lap time
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GEORGE MOUNT,517,8450,2017-10-29 09:25:53.500000,2017-10-29 09:59:37.790000,3,0:11:25.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,FRANK O'BRIEN,1166,9030,2017-10-29 09:25:55,2017-10-29 09:59:54.530000,1,0:11:13.770000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,FRANK O'BRIEN,1166,9030,2017-10-29 09:25:55,2017-10-29 09:59:54.530000,2,0:11:44.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,FRANK O'BRIEN,1166,9030,2017-10-29 09:25:55,2017-10-29 09:59:54.530000,3,0:11:01
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREW ALEXANDER,416,10191,2017-10-29 09:25:56.510000,2017-10-29 09:58:54.030000,1,0:11:01.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREW ALEXANDER,416,10191,2017-10-29 09:25:56.510000,2017-10-29 09:58:54.030000,2,0:10:58.250000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREW ALEXANDER,416,10191,2017-10-29 09:25:56.510000,2017-10-29 09:58:54.030000,3,0:10:57.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK SELANDER,537,13033,2017-10-29 09:25:58.260000,2017-10-29 09:58:35.530000,1,0:10:55
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK SELANDER,537,13033,2017-10-29 09:25:58.260000,2017-10-29 09:58:35.530000,2,0:10:51.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK SELANDER,537,13033,2017-10-29 09:25:58.260000,2017-10-29 09:58:35.530000,3,0:10:50.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,LAWRENCE CAYTON,483,9790,2017-10-29 09:26:01.010000,2017-10-29 09:59:47.040000,1,0:11:14.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,LAWRENCE CAYTON,483,9790,2017-10-29 09:26:01.010000,2017-10-29 09:59:47.040000,2,0:11:18.260000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,LAWRENCE CAYTON,483,9790,2017-10-29 09:26:01.010000,2017-10-29 09:59:47.040000,3,0:11:13.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GREG DEAN,422,13884,2017-10-29 09:26:02.010000,2017-10-29 10:01:20.790000,1,0:11:39.750000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GREG DEAN,422,13884,2017-10-29 09:26:02.010000,2017-10-29 10:01:20.790000,2,0:11:48.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GREG DEAN,422,13884,2017-10-29 09:26:02.010000,2017-10-29 10:01:20.790000,3,0:11:50.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,CHRISTOPHER NELSON,540,10521,2017-10-29 09:26:05.500000,2017-10-29 09:58:42.790000,1,0:10:54.020000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,CHRISTOPHER NELSON,540,10521,2017-10-29 09:26:05.500000,2017-10-29 09:58:42.790000,2,0:10:51.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,CHRISTOPHER NELSON,540,10521,2017-10-29 09:26:05.500000,2017-10-29 09:58:42.790000,3,0:10:51.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,PATRICK MCCABE,531,12588,2017-10-29 09:26:06.320000,2017-10-29 10:00:26.780000,1,0:11:13.200000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,PATRICK MCCABE,531,12588,2017-10-29 09:26:06.320000,2017-10-29 10:00:26.780000,2,0:11:40.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,PATRICK MCCABE,531,12588,2017-10-29 09:26:06.320000,2017-10-29 10:00:26.780000,3,0:11:26.750000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,SETH BEDWELL,441,10503,2017-10-29 09:26:11.010000,2017-10-29 10:01:34.030000,1,0:11:41.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,SETH BEDWELL,441,10503,2017-10-29 09:26:11.010000,2017-10-29 10:01:34.030000,2,0:11:50.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,SETH BEDWELL,441,10503,2017-10-29 09:26:11.010000,2017-10-29 10:01:34.030000,3,0:11:50.750000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,TRAVIS FRAZIER,652,12750,2017-10-29 09:26:11.060000,2017-10-29 09:58:55.780000,1,0:10:52.250000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,TRAVIS FRAZIER,652,12750,2017-10-29 09:26:11.060000,2017-10-29 09:58:55.780000,2,0:10:57.970000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,TRAVIS FRAZIER,652,12750,2017-10-29 09:26:11.060000,2017-10-29 09:58:55.780000,3,0:10:54.500000
CXR 4 - Frontier Park,Cat. 4 Men,ADAM ABRAMS,115,9294,2017-10-29 09:26:11.310000,2017-10-29 09:37:46.260000,1,0:11:34.950000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,KRISTIAN MICKELSON,546,8749,2017-10-29 09:26:13,2017-10-29 10:00:54.790000,1,0:11:28.820000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,KRISTIAN MICKELSON,546,8749,2017-10-29 09:26:13,2017-10-29 10:00:54.790000,2,0:11:34.200000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,KRISTIAN MICKELSON,546,8749,2017-10-29 09:26:13,2017-10-29 10:00:54.790000,3,0:11:38.770000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JOHNNY WALKER,547,10803,2017-10-29 09:26:19.750000,2017-10-29 10:02:00.040000,1,0:11:52.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JOHNNY WALKER,547,10803,2017-10-29 09:26:19.750000,2017-10-29 10:02:00.040000,2,0:12:00.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JOHNNY WALKER,547,10803,2017-10-29 09:26:19.750000,2017-10-29 10:02:00.040000,3,0:11:47.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GREG HODGES,516,9237,2017-10-29 09:26:29,2017-10-29 10:03:01.290000,1,0:11:54.020000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GREG HODGES,516,9237,2017-10-29 09:26:29,2017-10-29 10:03:01.290000,2,0:12:13.250000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GREG HODGES,516,9237,2017-10-29 09:26:29,2017-10-29 10:03:01.290000,3,0:12:25.020000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,EDGARDO HERNANDEZ,1527,11446,2017-10-29 09:26:38.750000,2017-10-29 10:02:11.290000,1,0:11:39.320000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,EDGARDO HERNANDEZ,1527,11446,2017-10-29 09:26:38.750000,2017-10-29 10:02:11.290000,2,0:11:58.460000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,EDGARDO HERNANDEZ,1527,11446,2017-10-29 09:26:38.750000,2017-10-29 10:02:11.290000,3,0:11:54.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JAY HATTER,1236,10644,2017-10-29 09:26:39,2017-10-29 09:50:52.530000,1,0:12:05.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JAY HATTER,1236,10644,2017-10-29 09:26:39,2017-10-29 09:50:52.530000,2,0:12:08.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,RUBEN BEITIA,482,10326,2017-10-29 09:26:40.060000,2017-10-29 10:04:28.290000,1,0:13:40.210000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,RUBEN BEITIA,482,10326,2017-10-29 09:26:40.060000,2017-10-29 10:04:28.290000,2,0:11:54.770000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,RUBEN BEITIA,482,10326,2017-10-29 09:26:40.060000,2017-10-29 10:04:28.290000,3,0:12:13.250000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREW LYNCH,544,3271,2017-10-29 09:26:40.750000,2017-10-29 10:00:56.790000,1,0:11:36.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREW LYNCH,544,3271,2017-10-29 09:26:40.750000,2017-10-29 10:00:56.790000,2,0:11:21.270000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREW LYNCH,544,3271,2017-10-29 09:26:40.750000,2017-10-29 10:00:56.790000,3,0:11:18.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JAYSON STEVENS,493,11526,2017-10-29 09:26:46.260000,2017-10-29 10:03:55.290000,1,0:12:09.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JAYSON STEVENS,493,11526,2017-10-29 09:26:46.260000,2017-10-29 10:03:55.290000,2,0:12:32
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JAYSON STEVENS,493,11526,2017-10-29 09:26:46.260000,2017-10-29 10:03:55.290000,3,0:12:28.020000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,SCOTT FOWLER,543,12939,2017-10-29 09:26:47.260000,2017-10-29 10:04:02.540000,1,0:12:17.500000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,SCOTT FOWLER,543,12939,2017-10-29 09:26:47.260000,2017-10-29 10:04:02.540000,2,0:12:43.020000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,SCOTT FOWLER,543,12939,2017-10-29 09:26:47.260000,2017-10-29 10:04:02.540000,3,0:12:14.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ADAM TROY,545,9545,2017-10-29 09:26:48.010000,2017-10-29 10:01:49.540000,1,0:11:36.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ADAM TROY,545,9545,2017-10-29 09:26:48.010000,2017-10-29 10:01:49.540000,2,0:11:43.500000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ADAM TROY,545,9545,2017-10-29 09:26:48.010000,2017-10-29 10:01:49.540000,3,0:11:41.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK RUSSEFF,497,13718,2017-10-29 09:27:04,2017-10-29 10:06:05.530000,1,0:12:55.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK RUSSEFF,497,13718,2017-10-29 09:27:04,2017-10-29 10:06:05.530000,2,0:13:02.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK RUSSEFF,497,13718,2017-10-29 09:27:04,2017-10-29 10:06:05.530000,3,0:13:03.500000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GREG GIZINSKI,822,8326,2017-10-29 09:27:05.250000,2017-10-29 09:53:28.770000,1,0:12:38.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,GREG GIZINSKI,822,8326,2017-10-29 09:27:05.250000,2017-10-29 09:53:28.770000,2,0:13:45
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK ORR,442,6200,2017-10-29 09:27:17.500000,2017-10-29 10:06:20.300000,1,0:12:58.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK ORR,442,6200,2017-10-29 09:27:17.500000,2017-10-29 10:06:20.300000,2,0:13:00.270000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK ORR,442,6200,2017-10-29 09:27:17.500000,2017-10-29 10:06:20.300000,3,0:13:04.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JAMES HUNTLEY,541,11327,2017-10-29 09:27:19,2017-10-29 10:06:25.800000,1,0:12:56.770000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JAMES HUNTLEY,541,11327,2017-10-29 09:27:19,2017-10-29 10:06:25.800000,2,0:13:08.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JAMES HUNTLEY,541,11327,2017-10-29 09:27:19,2017-10-29 10:06:25.800000,3,0:13:01.520000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,JOHN MCCONNELL,486,5225,2017-10-29 09:27:24.500000,2017-10-29 10:04:57.300000,1,0:12:09.010000
